"code","description","domain","grade","keywords","prerequisite","scope","level_A","level_B","level_C","level_D","level_E","competencies","common_misconceptions"
"[2국01-01]","중요한 내용이나 일이 일어난 순서를 고려하며 듣고 말한다.","듣기·말하기","초1-2","","","","중요한 내용이나 일이 일어난 순서를 정확하게 파악하며 듣고, 중요한 내용이나 일이 일어난 순서가 명확히 드러나게 말할 수 있다.","중요한 내용이나 일이 일어난 순서를 파악하며 듣고, 중요한 내용이나 일이 일어난 순서가 드러나게 말할 수 있다.","중요한 내용이나 일이 일어난 순서를 부분적으로 파악하며 듣고, 중요한 내용이나 일이 일어난 순서가 일부 드러나게 말한다.","","","",""
"[2국01-02]","바르고 고운 말로 서로의 감정을 나누며 듣고 말한다.","듣기·말하기","초1-2","","","","감정과 관련된 다양한 표현을 알고, 서로의 감정을 적극적으로 공유하는 과정에서 바르고 고운 말을 사용하여 듣고 말할 수 있다.","감정과 관련된 표현을 알고, 서로의 감정을 공유하는 과정에서 바르고 고운 말을 사용하여 듣고 말할 수 있다.","감정과 관련된 표현을 일부 알고, 서로의 감정을 공유하는 과정에서 바르고 고운 말을 부분적으로 사용하여 듣고 말한다.","","","",""
"[2국01-03]","상대의 말을 집중하여 듣고 말차례를 지키며 대화한다.","듣기·말하기","초1-2","","","","상대의 말에 주의를 집중하여 정확하게 듣고, 말차례를 지키며 적극적으로 대화할 수 있다.","상대의 말에 주의를 집중하여 듣고, 말차례를 지키며 대화할 수 있다.","상대의 말을 듣고, 말차례를 부분적으로 지키며 대화한다.","","","",""
"[2국01-04]","자신의 경험이나 생각을 바른 자세로 발표한다.","듣기·말하기","초1-2","","","","자신의 경험이나 생각을 풍부하게 떠올려 바른 자세로 자신 있게 발표할 수 있다.","자신의 경험이나 생각을 떠올려 바른 자세로 발표할 수 있다.","자신의 경험이나 생각을 부분적으로 떠올리고, 다른 사람 앞에서 말한다.","","","",""
"[2국01-05]","듣기와 말하기에 관심과 흥미를 가진다.","듣기·말하기","초1-2","","","","듣기·말하기의 중요성을 정확히 인식하고, 듣기·말하기에 적극적으로 참여하며 관심과 흥미를 가진다.","듣기･말하기의 중요성을 인식하고, 듣기·말하기에 관심과 흥미를 가진다.","듣기·말하기에 관심과 흥미를 일부 가진다.","","","",""
"[2국02-01]","글자, 단어, 문장, 짧은 글을 정확하게 소리 내어 읽는다.","읽기","초1-2","","","","글자, 단어, 문장, 짧은 글을 바르고 정확하게 발음하고 적절한 속도로 소리 내어 읽을 수 있다.","글자, 단어, 문장, 짧은 글을 정확하게 발음하고 소리 내어 읽을 수 있다.","글자, 단어, 문장, 짧은 글을 부분적으로 정확하게 발음하고 소리 내어 읽는다.","","","",""
"[2국02-02]","의미가 잘 드러나도록 문장과 짧은 글을 알맞게 띄어 읽는다.","읽기","초1-2","","","","글에 의미 단위가 있음을 인식하며 의미가 잘 드러나도록 문장과 짧은 글을 알맞게 띄어 읽을 수 있다.","글의 의미가 잘 드러나도록 문장과 짧은 글을 알맞게 띄어 읽을 수 있다.","문장과 짧은 글을 부분적으로 알맞게 띄어 읽는다.","","","",""
"[2국02-03]","글을 읽고 중심 내용을 확인한다.","읽기","초1-2","","","","다양한 유형의 글을 읽고 중심 내용을 정확하게 확인할 수 있다.","글을 읽고 중심 내용을 정확하게 확인할 수 있다.","글을 읽고 중심 내용을 부분적으로 확인한다.","","","",""
"[2국02-04]","인물의 마음이나 생각을 짐작하고 이를 자신과 비교하며 글을 읽는다.","읽기","초1-2","","","","인물의 마음이나 생각을 정확하게 짐작하고 이를 자신의 관점과 능동적으로 비교하며 글을 읽을 수 있다.","인물의 마음이나 생각을 짐작하고 이를 자신의 관점과 비교하며 글을 읽을 수 있다.","인물의 마음이나 생각을 부분적으로 짐작하고 이를 자신의 관점과 일부 비교하며 글을 읽는다.","","","",""
"[2국02-05]","읽기에 흥미를 가지고 즐겨 읽는 태도를 지닌다.","읽기","초1-2","","","","읽기에 흥미를 가지고 읽기 경험을 긍정적으로 수용하며 즐겨 읽는 태도를 지닌다.","읽기에 흥미를 가지고 긍정적으로 즐겨 읽는 태도를 지닌다.","읽기에 일부 흥미를 보인다.","","","",""
"[2국03-01]","글자와 단어를 바르게 쓴다.","쓰기","초1-2","","","","바른 자세로 글자와 단어를 바르고 정확하게 쓸 수 있다.","글자와 단어를 바르고 정확하게 쓸 수 있다.","글자와 간단한 단어를 쓴다.","","","",""
